Timestamp,Message,Message Type,Response,Response Type,Response Group,Response Accuracy,Accuracy Diagnosis,Fixed or Improved,Negative Sentiment,Notes
3/4/19 10:39AM,Is there a color printer at the midtown center location?,Freeform,"The address for SPS Midtown Center is:
11 West 42nd St., 
New York, NY 10036",SPS Midtown Center Address,Campus,None,No answer,TRUE,FALSE,Specific
3/4/19 10:39AM,Is there a color printer there?,Freeform,"Mayfair Violet, of course! 
Also known as HEX code #57068c",Small Talk,Small Talk,None,No context,TRUE,FALSE,
3/4/19 10:40AM,Human,Freeform,I will now connect you with one of my humans!,Live Chat,Human,Full,,FALSE,FALSE,
3/4/19 10:42AM,Is bobst closed,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Partial,No content,FALSE,FALSE,Link with hours hopefully had the answer
3/4/19 10:43AM,Is bobst closed today because of snow day,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,None,No content,FALSE,FALSE,No specific mention of facilitites
3/4/19 10:45AM,Is NYU open today?,Freeform,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!
Where would you like to begin today?",Study Away Welcome,Study Away,None,AI,TRUE,FALSE,
3/4/19 10:45AM,General Questions,Button,What question can I help you answer about study away?,SA Question Home,Study Away,Full,,FALSE,FALSE,
3/4/19 10:46AM,Is bobst open today?,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Partial,No content,FALSE,FALSE,Link with hours hopefully had the answer
3/4/19 10:46AM,When are application decisions coming out?,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,AI,FALSE,FALSE,
3/4/19 12:2PM,Will Bobst be open today?,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Partial,No content,FALSE,FALSE,Link with hours hopefully had the answer
3/4/19 12:6PM,Reserve a Room,Button,NYU Bobst offers a number of study rooms and spaces! To check them out and reserve a room,Bobst Room Reserve,Libraries,Full,,FALSE,FALSE,
3/4/19 12:16PM,"hello, is the library opened today?",Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Partial,No content,FALSE,FALSE,Link with hours hopefully had the answer
3/4/19 12:16PM,"since the university is closed today, is bobst open?",Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Partial,No content,FALSE,FALSE,Link with hours hopefully had the answer
3/4/19 12:45PM,Are the shuttle busses running today?,Freeform,What bus route are you taking today?,Bus Welcome,Public Safety,Full,,FALSE,FALSE,
3/4/19 12:46PM,Route B,Button,"Route B goes to and from points south of Washington Square including Lafayette and Broome.
",Bus B,Public Safety,Full,,FALSE,FALSE,
3/4/19 12:46PM,📍Live Map,Button,"For a live map of NYU buses
Click Here!",Live Map,Public Safety,Full,,FALSE,FALSE,
3/4/19 12:57PM,Are they running???,Freeform,"If you are a undergraduate or graduate student running out of meal swipes or money for food, you can receive immediate short-term assistance with no questions asked!
All you need to do is visit one of the following locations",?Courtesy Meals,Dining,None,No context,FALSE,FALSE,
3/4/19 12:59PM,Are dining halls open on snow days?,Freeform,"The hours for U-Hall Commons are:

Monday through Friday 
11AM to 11PM

Saturday and Sunday 
4 to 11PM",UHall Commons Hours,Dining,None,No content,FALSE,FALSE,
3/4/19 1:13PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
3/4/19 1:13PM,Who can fill out a college report?,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,Vague,FALSE,FALSE,
3/4/19 1:14PM,class cancelled?,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/4/19 1:16PM,Admissions Blog,Button,"The Graduate Admissions Blog highlights aspects of graduate and professional programs, student life, and admissions!
Getting the Most Out of Your Internship
www.nyu.edu
More Info",GA Blog,Admissions,Full,,FALSE,FALSE,
3/4/19 1:16PM,how do i apply for post graduate degree at nyu,Freeform,"Each school has its own, separate admissions process (ex. application requirements and deadlines). For answers to questions about specific graduate programs:
Center for Urban Science + Progress
cusp.nyu.edu
More Info
College of Dentistry
dental.nyu.edu
More Info
College of Global Public Health
publichealth.nyu.edu
More Info
Courant Institute of Mathematical Sciences
cims.nyu.edu
More Info
Gallatin School of Individualized Study
gallatin.nyu.edu
More Info
Graduate School of Arts and Science
gsas.nyu.edu
More Info
Institute of Fine Arts
www.nyu.edu
More Info
Leonard N. Stern School of Business
www.stern.nyu.edu
More Info
NYU Shanghai
shanghai.nyu.edu
More Info
Robert F. Wagner Graduate School of Public Service
wagner.nyu.edu
More Info
Rory Meyers College of Nursing
nursing.nyu.edu
More info",GA Application,Admissions,Full,,FALSE,FALSE,
3/4/19 1:47PM,Do we have class today?,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/4/19 4:8PM,🌹 Date Ideas,Button,Dating within a college budget can be quite the challenge! Here are five ideas to bring on the romance without breaking the bank:,Date Ideas,NYC,Full,,FALSE,FALSE,
3/4/19 4:8PM,💵 NYC on a Budget,Button,"For those of us on a budget (so, basically every NYU student), check out this list of activites:",NYC on a Budget,NYC,Full,,FALSE,FALSE,
3/4/19 4:8PM,🌇 In the City,Button,Here are some great options for a night on the town!,Stuff to do City Activity,NYC,Full,,FALSE,FALSE,
3/4/19 4:9PM,🍿 Movie Theaters,Button,"When your school has one of the best film programs in the world, it feels like you have to keep up with all the latest Indie hits and Oscar likelies. Take a study break and get cultured at the most unique movie theaters near NYU!",Movie Theaters,NYC,Full,,FALSE,FALSE,
3/4/19 4:10PM,🌇 NYU & NYC,Button,Want to know where the best places to nap or where to get something to eat at 3AM? I've got you covered!,Explore NYU & NYC Welcome,Miscellaneous,Full,,FALSE,FALSE,
3/4/19 4:10PM,🤹 Hobbies,Button,"Be honest: How often are you sitting in your room, bored out of your mind? You’re finished with classes for the day. You’ve done all your homework (or maybe not). Your friends are busy, and your college budget is too tight for a night out anyway. What do you do? Continue to lay around and watch the metaphoric paint dry?!",Hobbies for Bored Students,Miscellaneous,Full,,FALSE,FALSE,
3/4/19 4:10PM,🕹 Stuff to Do,Button,"I've got you covered for all your hobbies, music, film, and dining needs!",Stuff to do Menu,Miscellaneous,Full,,FALSE,FALSE,
3/4/19 4:10PM,🏠 At Home,Button,Here are some great options for a night in!,Stuff to do Home,Miscellaneous,Full,,FALSE,FALSE,
3/4/19 4:11PM,💧 Drink,Button,These options are great for a quick pick me up!,Drink Menu,Food & Drink,Full,,FALSE,FALSE,
3/4/19 4:11PM,🍫 Hot Chocolate,Button,Need to warm up for the winter but not a big fan of coffee? Visit some of these bakeries and shops for some of the best hot chocolates you can find around NYU.,Hot Chocolate,Food & Drink,Full,,FALSE,FALSE,
3/4/19 4:13PM,🌉 Tandon Spots,Button,"Even if it's your first time, or thousandth time visiting our Brooklyn Campus, these food spots are sure to please your tastebuds!
99 Cent Fresh Pizza
www.google.com
Take me there!",Tandon Food Guide,Food & Drink,Full,,FALSE,FALSE,
3/4/19 4:14PM,🌇 In the City,Button,Here are some great options for a night on the town!,Stuff to do City Activity,NYC,Full,,FALSE,FALSE,
3/4/19 4:51PM,What was NYU acceptance rate for class of 2023,Freeform,The undergraduate admissions rate for the Class of 2022 was 19% — the lowest in University history.,?Admissions Rate,Admissions,Full,,FALSE,FALSE,
3/4/19 7:32PM,🌍 Global Network,Button,For questions about the NYU Global Network:,Global Network Menu,Miscellaneous,Full,,FALSE,FALSE,
3/4/19 7:32PM,✈️ Study Away,Button,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,Full,,FALSE,FALSE,
3/4/19 7:32PM,Global Sites,Button,What study away site are you interested to learn more about?,Sites Home,Study Away,Full,,FALSE,FALSE,
3/4/19 7:32PM,Are classes cancelled tomorrow?,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/4/19 7:53PM,is school canceled tomorrow?,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!
More Info",?Snow Day,Weather,Full,,FALSE,FALSE,
3/4/19 7:53PM,How many floors in bobst,Freeform,"Lower Level I
Leisure Books",Bobst Floor Plan,Libraries,Partial,No content,FALSE,FALSE,Floor plan doesn't include every floor; limitation from Facebook
3/4/19 7:54PM,Research Services,Button,"Get Research Help
Book an appointment with a subject librarian for research help
library.nyu.edu
More Info",Bobst Services,Libraries,Full,,FALSE,FALSE,
3/4/19 7:54PM,Mealplans,Freeform,How can I help you navigate NYU's meal plan?,Meal Plan Question Home,Dining,Full,,FALSE,FALSE,
3/4/19 7:54PM,How much campus cash do I have left,Freeform,"To check balance for Campus Cash, Dining Dollars, and Meal Swipes:

go to NYU Global Home --> NYU Life --> ""Campus Cash and Meal Plan""
Or
Click here!",Meal Plan Check and Add to Balance,Dining,Full,,FALSE,FALSE,No technology to spit out the information so this block is the best next thing
3/4/19 9:7PM,im stressed,Freeform,"School can be stressful, but don't worry! There are dozens of ways to relax and give yourself a break.
",?Stressed,Student Health Center,Full,,FALSE,TRUE,
3/4/19 10:59PM,Event Calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,None,AI,FALSE,FALSE,
3/4/19 11:0PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
3/4/19 11:0PM,🍴 Dining,Button,What question do you have about NYU Dining?,Dining Home,Dining,Full,,FALSE,FALSE,
3/4/19 11:0PM,What's for dinner?,Button,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/4/19 11:1PM,What does palladium have for dinner tomorrow,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,FALSE,FALSE,
3/5/19 12:28AM,Is there class today,Freeform,"For all of NYU's awesome events, check out their calendar:",?Events,Miscellaneous,None,AI,TRUE,FALSE,
3/5/19 12:28AM,Are classes cancelled,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/5/19 11:21AM,Bus b,Freeform,Route B goes to and from points south of Washington Square including Lafayette and Broome.,Bus B,Public Safety,Full,,FALSE,FALSE,
3/5/19 11:26AM,are any dining halls serving Mardi Gras themed items,Freeform,What question do you have about NYU Dining?,Dining Home,Dining,Partial,No answer,FALSE,FALSE,Specific
3/5/19 11:26AM,what are the menus,Freeform,"
18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there",Dining Menus,Dining,Full,,FALSE,FALSE,
3/5/19 11:26AM,palladium,Freeform,"NYU has a lot of Palladiums! Which one do you want to know more about?
🍴 Dining Hall
🏈 Gym
🏡 Housing",Palladium Redirect,Redirects,Partial,No context,FALSE,FALSE,
3/5/19 11:26AM,🍴 Dining Hall,Button,"Palladium couples creativity with unparalleled culinary experience to provide guests a wholesome, healthy and authentic dining experience. Palladium’s unique stations include Produce Market, Global international fare, and the Palladium Grille.
What would you like to know about Palladium Dining?",Palladium Dining Home,Dining,Full,,FALSE,FALSE,
3/5/19 11:26AM,🍽 Menu,Button,"
For the Palladium by LifeWorks Menu
nyu.campusdish.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/5/19 11:27AM,weinstein dining hall,Freeform,NYU has a lot of Weinsteins! Which one do you want to know more about?,Weinstein Redirect,Redirects,Full,,FALSE,FALSE,
3/5/19 11:27AM,menu,Freeform,"Hi, I’m BobChat, get it? Like Bobcat?",Welcome Back,Redirects,None,No context,FALSE,FALSE,
3/5/19 11:27AM,downstein menu,Freeform,"
For the Weinstein Passport Dining
nyu.campusdish.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/5/19 11:28AM,third north dining menu,Freeform,"The Harvest Table at Third North Courtyard Café offers healthy and wholesome choices available every day.
What would you like to know about The Harvest Table at Third North?",3N Dining Home,Dining,Partial,AI,FALSE,FALSE,
3/5/19 11:28AM,menu,Freeform,"Hi there, I’m BobChat — think of me as your fairy godbot for all things NYU.
How can I help?",Welcome Back,Redirects,None,No context,FALSE,FALSE,
3/5/19 11:29AM,third north dining,Freeform,"The Harvest Table at Third North Courtyard Café offers healthy and wholesome choices available every day.
What would you like to know about The Harvest Table at Third North?",3N Dining Home,Dining,Full,,FALSE,FALSE,
3/5/19 11:29AM,🍽 Menu,Button,"
For the Harvest Table Menu
harvesttable.nyudining.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/5/19 11:29AM,mardi gras,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,Vague,FALSE,FALSE,
3/5/19 11:30AM,yes,Freeform,"My humans are all enjoying their weekend or asleep right now, but I can leave them a message and they'll get back to you as soon as possible!
BobChat live chat will resume Tueday, March 5 at 9 AM. Happy Snow Day! ❄️
Would you like to leave a message?",Live Chat,Human,Full,,FALSE,FALSE,
3/5/19 12:37PM,are you allowed to eat in bobst,Freeform,"Even if it's your first time, or thousandth time visiting our Brooklyn Campus, these food spots are sure to please your tastebuds!
99 Cent Fresh Pizza
www.google.com
Take me there!",Tandon Food Guide,Food & Drink,None,No answer,FALSE,FALSE,A bit too specific probably
3/5/19 12:37PM,Are you allowed to eat inside bobst,Freeform,"Even if it's your first time, or thousandth time visiting our Brooklyn Campus, these food spots are sure to please your tastebuds!
99 Cent Fresh Pizza
www.google.com
Take me there!",Tandon Food Guide,Food & Drink,None,No answer,FALSE,FALSE,A bit too specific probably
3/5/19 12:38PM,are you allowed to eat in the library,Freeform,"For Spring 2019, move-in day was Sunday, January 27",?Move-In Day,Housing,None,No answer,FALSE,FALSE,A bit too specific probably
3/5/19 6:1PM,✍️ Admissions,Button,"For questions about admissions:
",Admissions Menu,Admissions,Full,,FALSE,FALSE,
3/5/19 6:1PM,feedback,Button,"Thank you for taking the time to let me know how we're doing. I'm excited to hear your thoughts! What do you want to give me feedback on?
💜 NYU
🤖 BobChat",Feedback Welcome,Feedback,Full,,FALSE,FALSE,
3/5/19 6:1PM,Bus E,Freeform,"Route E goes to and from points north of Washington Square including Gramercy, Palladium, Third North, & UHall.",Bus E,Public Safety,Full,,FALSE,FALSE,
3/5/19 6:34PM,Is Lipton Open right Now>?,Freeform,"The hours for Lipton Dining Hall are: 

Monday through Friday
7:30AM to 3PM
4 to 9PM

Saturday and Sunday
11AM to 8PM",Lipton Dining Hours,Dining,Full,,FALSE,FALSE,
3/5/19 6:34PM,Palladium dinning hall hours?,Freeform,"NYU Dining’s newest location and latest hot spot! Located in the lower level of the Torch Club, 18 Below offers seasonal, authentic flavors in a fine dining setting
What would you like to know about 18 Below?",18 Below Home,Dining,None,AI,TRUE,FALSE,
3/5/19 6:35PM,Is palladiumn dining open currently?,Freeform,"The hours for The Harvest Table at Third North are:

Monday through Friday
7AM to 3PM
4 to 9PM

Saturday and Sunday
8AM to 3PM
4 to 9PM",3N Dining Hours,Dining,None,AI,FALSE,FALSE,
3/5/19 6:35PM,Palladium Dining Hours,Freeform,"The hours for Palladium Dining are:

Monday through Friday
4 to 10PM

Saturday
11AM to 3PM 
4 to 10PM

Sunday
11AM to 3PM
5 to 10PM",Palladium Dining Hours,Dining,Full,,FALSE,FALSE,
3/5/19 6:36PM,Is Palladium Pool Open Right Now?,Freeform,Check back soon for the 2019-2020 housing rates!,?Housing Cost,Housing,None,AI,TRUE,FALSE,
3/5/19 9:10PM,Are classes cancelled tomorrow?,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/5/19 9:19PM,Bus,Freeform,What bus route are you taking today?,Bus Welcome,Public Safety,Full,,FALSE,FALSE,
3/5/19 9:19PM,Route F,Button,"Route F is the 3rd Ave Express going to Coral, Founders, Gramercy Green, Palladium, & Third North.",Bus F,Public Safety,Full,,FALSE,FALSE,
3/5/19 9:20PM,Route E Friday schedule,Button,"Route E goes to and from points north of Washington Square including Gramercy, Palladium, Third North, & UHall.",Bus E,Public Safety,None,No content,TRUE,FALSE,Monday - Thursday schedule; this was before we added a button for other days
3/5/19 9:20PM,All Bus Routes,Button,I'll help you find your way around the City. SuperBot to the rescue!,Bus IDK,Public Safety,Full,,FALSE,FALSE,
3/5/19 9:20PM,This one!,Button,"Route E goes to and from points north of Washington Square including Gramercy, Palladium, Third North, & UHall.",Bus E,Public Safety,Full,,FALSE,FALSE,
3/6/19 1:52AM,Is school closed tomorrow,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,FALSE,
3/6/19 1:53AM,Where is kimmel,Freeform,"The address for Kimmel is: 
60 Washington Sq. S, 
New York, NY 10012",Kimmel Address,Campus,Full,,FALSE,FALSE,
3/6/19 1:53AM,What is Gallatin,Freeform,Susanne L. Wofford is the dean of the Gallatin School of Individualized Study.,Gallatin Dean,Administration,None,AI,FALSE,FALSE,
3/6/19 1:55AM,What is the acceptance rate,Freeform,The undergraduate admissions rate for the Class of 2022 was 19% — the lowest in University history.,?Admissions Rate,Admissions,Full,,FALSE,FALSE,
3/6/19 1:55AM,What is the acceptance rate for Gallatin,Freeform,The undergraduate admissions rate for the Class of 2022 was 19% — the lowest in University history.,?Admissions Rate,Admissions,Partial,No answer,FALSE,FALSE,
3/6/19 7:44AM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
3/6/19 7:45AM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
3/6/19 7:45AM,💼 Wasserman,Button,Getting started on the right foot in your career can make all the difference. The Wasserman Center is here to help make those first steps as easy as possible,Wasserman Welcome,Wasserman,Full,,FALSE,FALSE,
3/6/19 7:45AM,Drop-In Hours,Button,Wasserman offers drop-in hours — no appointments needed!,Wasserman Drop-In Hours,Wasserman,Full,,FALSE,FALSE,
3/6/19 11:46AM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
3/6/19 11:46AM,🍴 Dining,Button,What question do you have about NYU Dining?,Dining Home,Dining,Full,,FALSE,FALSE,
3/6/19 11:46AM,What's for dinner?,Button,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!
Harvest Table
75 Third Ave., New York, NY 10003
Menu
Take me there
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
Take me there!
",Dining Menus,Dining,Full,,FALSE,FALSE,
3/6/19 1:38PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
3/6/19 1:39PM,🚌 Bus Routes,Button,What bus route are you taking today?,Bus Welcome,Public Safety,Full,,FALSE,FALSE,
3/6/19 1:39PM,Route A,Button,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
3/6/19 1:55PM,📍Brooklyn Location,Button,"They're located at 
6 MetroTech Center, ROG-B020
Brooklyn, New York 11201",SHC Brooklyn,Student Health Center,Full,,FALSE,FALSE,
3/6/19 1:55PM,📍Manhattan Location,Button,"The Washington Square SHC is open Monday through Saturday at 726 Broadway, 
New York, NY 10003",SHC Manhattan,Student Health Center,Full,,FALSE,FALSE,
3/6/19 1:56PM,"726 Broadway, New York, NY 10003",Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,Vague,FALSE,FALSE,
3/6/19 1:57PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
3/6/19 1:57PM,❄️ Winter in NYC,Button,"Whether you want to explore a new interest or get ahead in your studies, January Term offers over 100 classes to take over three weeks in January.",January Term Welcome,Special Sessions,Full,,FALSE,FALSE,
3/6/19 1:57PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
3/6/19 1:58PM,🍴 Dining,Button,What question do you have about NYU Dining?,Dining Home,Dining,Full,,FALSE,FALSE,
3/6/19 1:58PM,What's for dinner?,Button,"Dining Hall Links:
18 Below
18 Waverly Pl., New York, NY 10003
Menu
Harvest Table
75 Third Ave., New York, NY 10003
Menu
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
Kimmel Marketplace
60 Washington Sq. South, New York, NY 10012
Menu
Kosher Eatery
5 University Pl., New York, NY 10003
Menu
Lipton Dining Hall
33 Washington Sq. West, New York, NY 10011
Menu
Palladium Dining Hall
133 E 13th St., New York, NY 10003
Menu
",Dining Menus,Dining,Full,,FALSE,FALSE,
3/6/19 2:42PM,📍Live Map,Button,Click Here!,Live Map,Public Safety,Full,,FALSE,FALSE,
3/6/19 2:43PM,weinstein dining menu,Freeform,NYU has a lot of Weinsteins! Which one do you want to know more about?,Weinstein Redirect,Redirects,Full,,FALSE,FALSE,
3/6/19 2:43PM,⬇ Downstein,Button,"Weinstein Passport Dining (AKA Downstein) has a distinct focus on global flavors, exploring ethnic foods and authentic cuisine from around the world. Weinstein’s goal is to let students experience the world with their taste buds without leaving New York City
What would you like to know about Weinstein Passport Dining?",Downstein Dining Home,Dining,Full,,FALSE,FALSE,
3/6/19 2:43PM,🍽 Menu,Button,"
For the Weinstein Passport Dining
nyu.campusdish.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/6/19 2:44PM,third north dining menu,Freeform,"The Harvest Table at Third North Courtyard Café offers healthy and wholesome choices available every day.
What would you like to know about The Harvest Table at Third North?",3N Dining Home,Dining,Partial,AI,FALSE,FALSE,
3/6/19 2:44PM,🍽 Menu,Button,"
For the Harvest Table Menu
harvesttable.nyudining.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/6/19 2:46PM,palladium menu,Freeform,"
Explore Palladium Hall
youtu.be
Watch now!
What would you like to know about Palladium?",Palladium Menu,Housing,None,AI,FALSE,FALSE,Direct to palladium redirect or straight to dining
3/6/19 2:47PM,palladium dining,Freeform,"Palladium couples creativity with unparalleled culinary experience to provide guests a wholesome, healthy and authentic dining experience. Palladium’s unique stations include Produce Market, Global international fare, and the Palladium Grille.
What would you like to know about Palladium Dining?",Palladium Dining Home,Dining,Full,,FALSE,FALSE,
3/6/19 2:47PM,🍽 Menu,Button,"
For the Palladium by LifeWorks Menu
nyu.campusdish.com
Click here!",Dining Menus,Dining,Full,,FALSE,FALSE,
3/6/19 3:57PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
3/6/19 3:57PM,🏡 Housing,Button,"NYU's diverse community and its place ""in and of"" NYC create a wealth of opportunities for students to learn, grow, and pursue their interests. NYU's Residential Life program can help students feel at home and build a fulfilling campus experience.",Housing Welcome,Housing,Full,,FALSE,FALSE,
3/6/19 3:57PM,Housing Options,Button,Do you want to explore Manhattan or Brooklyn Halls?,Residence Halls,Housing,Full,,FALSE,FALSE,
3/6/19 3:57PM,Manhattan Halls,Button,Which Manhattan Residence Hall would you like more information about?,Residence Halls Manhattan,Housing,Full,,FALSE,FALSE,
3/6/19 3:58PM,This one!,Button,What would you like to know about Goddard Hall?,Goddard Menu,Housing,Full,,FALSE,FALSE,
3/6/19 3:58PM,Pictures,Button,Here are some pictures of Goddard:,Goddard Pictures,Housing,Full,,FALSE,FALSE,
3/6/19 3:58PM,Manhattan Halls,Button,Which Manhattan Residence Hall would you like more information about?,Residence Halls Manhattan,Housing,Full,,FALSE,FALSE,
3/6/19 3:59PM,This one!,Button,What would you like to know about Brittany?,Brittany Menu,Housing,Full,,FALSE,FALSE,
3/6/19 3:59PM,Pictures,Button,Here are some pictures of Brittany:,Brittany Pictures,Housing,Full,,FALSE,FALSE,
3/6/19 4:28PM,Cancel the class tomorrow please,Freeform,"📣 NYU is closed due to snow storm on Monday, March 4 2019. Happy Snow Day!",?Snow Day,Weather,Full,,FALSE,TRUE,
3/6/19 4:28PM,Class cancelling,Freeform,"Hi! You want to register for courses? Great!
💻 Step 1: Start by logging onto Albert. Let me know when you're done",CR Welcome,Registrar,None,AI,TRUE,FALSE,
3/6/19 4:40PM,route f,Freeform,"Route F is the 3rd Ave Express going to Coral, Founders, Gramercy Green, Palladium, & Third North.",Bus F,Public Safety,Full,,FALSE,FALSE,
3/6/19 4:41PM,route e,Freeform,"Route E goes to and from points north of Washington Square including Gramercy, Palladium, Third North, & UHall.",Bus E,Public Safety,Full,,FALSE,FALSE,
3/6/19 4:58PM,Route B schedule,Freeform,Route B goes to and from points south of Washington Square including Lafayette and Broome.,Bus B,Public Safety,Full,,FALSE,FALSE,
3/6/19 6:24PM,i need to see a doctor,Freeform,"You can always reach the Student Health Center by using the wellness exchange hotline which is 212.443.9999
📞 Call now!
What question can I help you answer about the Student Health Center?",SHC Welcome,Student Health Center,Full,,FALSE,FALSE,
3/6/19 6:24PM,what is NYU,Freeform,Want to know where the best places to nap or where to get something to eat at 3AM? I've got you covered!,Explore NYU & NYC Welcome,Miscellaneous,None,Vague,FALSE,FALSE,
3/6/19 6:25PM,how much does nyu cost,Freeform,"As of March 2018, these are the expected cost of attendance. Subject to change.",Cost of Attendance,Finances,Full,,FALSE,FALSE,
3/6/19 6:25PM,I want to apply for graduation,Freeform,"2019 Commencement Ceremonies
The 187th All-University Commencement will take place on on Wed, May 22, 2019.
www.nyu.edu
More Info",Registrar Graduation,Registrar,Full,,FALSE,FALSE,
3/6/19 6:26PM,I want to get my transcript,Freeform,"Transcript Requests
Get a comprehensive record of your academic progress at NYU
www.nyu.edu
More Info",Registrar Transcripts,Registrar,Full,,FALSE,FALSE,
3/6/19 6:26PM,what are my grades,Freeform,"To see your midterm and final grades, use Albert by clicking
Here!",?Grades,Academics,Full,,FALSE,FALSE,
3/6/19 6:26PM,what is my gpa,Freeform,"5 - 7 business days after you’ve submitted your application, NYU will let you know that they’ve received your application and will give you information about how to track your status.",?Application Status,Admissions,None,No content,TRUE,FALSE,
